,cluster,text
1,1,ไม่มีอะไรน่ากิน
3,1,ถ้าร้านนั้นคนเยอะก็จะไปเลือกร้านอื่น
4,1,ถ้าแถวยาวมากก็จะขี้เกียจรอ
5,1,ถ้าคนเยอะมากก็เปลี่ยนร้านไม่อยากรอ
6,1,ถ้าคนเยอะเกินไปก็จะไม่ซื้อเปลี่ยนร้านหรือไม่กินเลย
8,1,ขี้เกียจรอนานๆแล้วรู้สึกว่ามันเสียเวลา
9,1,ถ้าคิวยาวเกินจะเลือกร้านอื่นแทน
11,1,อยากกินอาหารแปลกใหม่
15,1,ถ้าคิวยาวเกินจะเลือกร้านอื่นแทน
17,1,ไม่รู้จะกินอะไร
19,1,กินอาหารน้อยลง
20,1,อยากกินร้านอาหารข้างนอก
22,1,เลิกเรียนช้าทำให้ไม่เหลืออะไรให้กินเลย
24,1,ไม่อยากกินอาหารจำเจ
28,1,คณะอื่นเยอะมากอาหารซ้ำซากบางทีอยากกินแถวซอยหอแต่เวลาก็ไม่ค่อยพอเลยต้องกินในคณะไปก่อนโรงอาหารร้อนมากและอบมาก
29,1,"ควันเยอะ,ร้อน,แมลงวันไม่ค่อยน่านั่ง"
31,1,อาจาร์ยสอนเกินเวลาไม่มีอาหารเหลือให้กิน
38,1,ต่อคิวนานคนเยอะมากเนื่องจากหลายคณะมากินโรงอาหารเดียวกับเราทำให้บางร้านต้องรอคิวนานและอาหารไม่ค่อยหลากหลาย
39,1,ควันที่ร้านข้าวตามสั่งทำเยอะทำให้ไม่อยากกิน
40,1,ไม่รู้จะกินอะไร
42,1,ร้านจำไม่ได้ว่าเราสั่งอะไร
51,1,เดินทางไปโรงอาหารลำบาก
60,1,อาหารหมด
62,1,เบื่อเมนูอาหารในโรงอาหาร
