Problem,score,cluster
 ถ้าคนเยอะก็ไม่อยากไปต่อคิว,9.0,1
ไม่มีอะไรน่ากิน,3.0,4
ถ้าคิวยาวก็ไม่ซื้อ,8.6,1
ถ้าร้านนั้นคนเยอะก็จะไปเลือกร้านอื่น,7.8,1
ถ้าแถวยาวมากก็จะขี้เกียจรอ,8.0,1
ถ้าคนเยอะมากก็เปลี่ยนร้าน ไม่อยากรอ,7.8,1
ถ้าคนเยอะเกินไปก็จะไม่ซื้อ เปลี่ยนร้านหรือไม่กินเลย,8.8,1
ไม่มีร้านอาหารที่ชอบ,3.2,2
ขี้เกียจรอนานๆ แล้วรู้สึกว่ามันเสียเวลา,8.4,1
ถ้าคิวยาวเกินจะเลือกร้านอื่นแทน,8.0,1
เบื่อร้านอาหารที่มีอยู่,3.4,2
อยากกินอาหารแปลกใหม่,3.6,3
โรงอาหารคนเยอะทำให้ไม่อยากซื้อ,7.6,1
มีเวลาน้อยไม่สามารถต่อคิวได้,7.4,4
อาหารที่อยากกินหมด,4.4,3
 ถ้าคิวยาวเกินจะเลือกร้านอื่นแทน,8.0,1
เบื่อร้านอาหารที่มีอยู่,3.0,2
ไม่รู้จะกินอะไร,4.4,0
ไม่มีโต๊ะนั่งกินข้าว,5.8,4
กินอาหารน้อยลง ,4.4,3
อยากกินร้านอาหารข้างนอก,5.6,3
ร้านอาหารมีคิวเยอะ ,8.4,4
เลิกเรียนช้า ทำให้ไม่เหลืออะไรให้กินเลย,7.0,1
มีเวลาพักกินข้าวน้อย,6.8,4
ไม่อยากกินอาหารจำเจ,3.6,3
ไม่มีอาหารที่อยากกิน,3.8,3
หาโต๊ะนั่งไม่ได้,6.2,4
ไม่ชอบกลิ่นที่โรงอาหาร,3.4,2
คณะอื่นเยอะมาก อาหารซ้ำซาก บางทีอยากกินแถวซอยหอ แต่เวลาก็ไม่ค่อยพอ เลยต้องกินในคณะไปก่อน โรงอาหารร้อนมาก และอบมาก ,8.2,1
"ควันเยอะ, ร้อน, แมลงวัน ไม่ค่อยน่านั่ง",4.8,4
คนเยอะ ต่อคิวนาน,8.2,1
อาจารย์สอนเกินเวลาไม่มีอาหารเหลือให้กิน,7.6,4
ขี้เกียจต่อแถว,8.0,1
คนเยอะ เบื่ออาหารในคณะ วุ่นวาย ร้อน,5.4,4
มาทำงานวันหยุดไม่มีร้านอาหารเปิด,5.4,4
ทำงานดึกทำให้ไม่มีร้านอาหารเปิด,6.2,4
ร้านอาหารมีจำนวนไม่มากพอที่จะรับจำนวนนักศึกษา,6.6,4
โดนลัดคิว,8.8,4
ต่อคิวนาน คนเยอะมาก เนื่องจากหลายคณะมากินโรงอาหารเดียวกับเรา ทำให้บางร้านต้องรอคิวนาน และอาหารไม่ค่อยหลากหลาย,9.6,1
ควันที่ร้านข้าวตามสั่งทำเยอะทำให้ไม่อยากกิน,4.0,3
ไม่รู้จะกินอะไร,3.8,0
ที่ร้านลืมออเดอร์,6.2,2
ร้านจำไม่ได้ว่าเราสั่งอะไร,6.2,1
เบื่ออาหารที่โรงอาหาร,3.4,2
ร้านอาหารไม่เปิดให้บริการในเวลาดึก,5.8,4
ไม่มีร้านอาหารเปิดในวันหยุด,6.0,4
วัตถุดิบที่ทำหมด,6.4,2
ลืมกระเป๋าตังไม่มีเงินสดจ่าย,3.0,4
ร้านไม่รับโอน,3.8,4
โรงอาหารคนเยอะไม่มีโต๊ะให้นั่ง,6.8,1
ที่นั้งไม่เพียงพอกับจำนวนนักศึกษา,6.8,2
เดินทางไปโรงอาหารลำบาก,5.8,1
ไม่มีเมนูที่อยากทาน,4.2,2
ร้านอาหารมีคิวเยอะ,8.0,4
ร้านอาหารไม่เปิดบริการในวันหยุด,5.8,4
มีเวลาพักไม่พอต่อคิว,8.2,4
บรรยากาศโรงอาหารไม่น่ารับประทาน,2.8,4
สภาพอากาศทำให้ไม่สามารถออกไปซื้อได้,2.6,1
โรงอาหารคนต่อคิวเยอะ,8.2,1
คนรอสั่งอาหารเยอะ,8.4,1
อาหารหมด,7.2,3
ร้านอาหารมีน้อยกว่าจำนวนนักศึกษา,6.4,4
เบื่อเมนูอาหารในโรงอาหาร,4.0,4
ไม่มีร้านที่ทำอร่อย,5.4,2
ร้านไม่เปิดในช่วงปิดเทอม,5.2,4
คนเยอะรอคิวนาน,8.4,1
ไม่อยากไปต่อแถว,8.0,1
ไม่อยากกินอาหารที่ขายอยู่,4.4,3
อาหารเหลือแต่ร้านที่ไม่อร่อย,5.2,3
ปัญหาด้านกลิ่นด้านการทำอาหารอาบน้ำทำส่วนมากอย่างนี้ที่นั่งไม่เพียงพอมีจองด้วยอะไรเยอะแยะวุ่นวาย,7.4,4
ปัญหาด้านกลิ่นด้านการทำอาหารอาบน้ำทำส่วนมากอย่างนี้ที่นั่งไม่เพียงพอมีจองด้วยอะไรเยอะแยะวุ่นวาย,7.4,4
ปัญหาด้านกลิ่นด้านการทำอาหารอาบน้ำทำส่วนมากอย่างนี้ที่นั่งไม่เพียงพอมีจองด้วยอะไรเยอะแยะวุ่นวาย,7.4,4
ปัญหาด้านกลิ่นด้านการทำอาหารอาบน้ำทำส่วนมากอย่างนี้ที่นั่งไม่เพียงพอมีจองด้วยอะไรเยอะแยะวุ่นวาย,7.4,4
ปัญหาด้านกลิ่นด้านการทำอาหารอาบน้ำทำส่วนมากอย่างนี้ที่นั่งไม่เพียงพอมีจองด้วยอะไรเยอะแยะวุ่นวาย,7.4,4
