Vehicle,restaurant,food delivery,Problem,work,เวลาในการรออาหาร,ราคาอาหาร
เดิน,"ก๋วยเตี๋ยว, อาหารตามสั่ง, ข้าวมันไก่, ข้าวราดแกง, ร้านน้ำ, ร้านกาแฟ",Promotions, ยิ่งเยอะยิ่งไม่อยากไปต่อ,1 - 2 ชั่วโมง,10 นาทีขึ้นไป,51-100บาท
รถยนต์ส่วนตัว,"ก๋วยเตี๋ยว, อาหารตามสั่ง, ข้าวมันไก่, ข้าวราดแกง, ร้านน้ำ, ร้านกาแฟ",หิว ขี้เกียจเดิน จะทำงาน,กลัววัตถุดิบหมด,2 - 3 ชั่วโมง,6 - 10 นาที,51-100บาท
เดิน,"ก๋วยเตี๋ยว, อาหารตามสั่ง, ข้าวราดแกง, ร้านน้ำ, ร้านกาแฟ",เพราะร้านที่อยากกินอยู่ไกล บางทีก็อยู่ในเวลาเร่งรีบ หรือบางทีก็งานกินเลี้ยง,ถ้าคิวยาวก็ไม่ซื้อ,1 - 2 ชั่วโมง,6 - 10 นาที,100-200 บาท
เดินดิ,"ก๋วยเตี๋ยว, อาหารตามสั่ง, ข้าวราดแกง, ร้านน้ำ, ร้านกาแฟ",ขี้เกียจเดินออกไปกินข้างนอก,ถ้าคนเยอะก็จะไปเลือกร้านอื่น,1 - 2 ชั่วโมง,6 - 10 นาที,300-500 บาท
รถประจำทาง,"ก๋วยเตี๋ยว, อาหารตามสั่ง, ข้าวมันไก่, ข้าวราดแกง, ร้านน้ำ, ร้านกาแฟ",อยากกินร้านนั้น,ผล ถ้าแถวยาวมากก็จะขี้เกียจรอ,1 - 2 ชั่วโมง,10 นาทีขึ้นไป,100-200 บาท
เดิน,"ก๋วยเตี๋ยว, อาหารตามสั่ง, ข้าวมันไก่, ข้าวราดแกง, ร้านน้ำ, ร้านกาแฟ",ไม่อะไรกิน, ถ้าคนเยอะมากก็เปลี่ยนร้าน ไม่อยากรอ,มากกว่า 3 ชั่วโมง,6 - 10 นาที,100-200 บาท
รถจักรยานยนต์,"ก๋วยเตี๋ยว, อาหารตามสั่ง, ข้าวมันไก่, ข้าวราดแกง, ร้านน้ำ, ร้านกาแฟ",เบื่ออาหารที่อยู่ในคณะ และค่าอาหารพร้อมจัดส่งที่ยอมรับได้,ถ้าคนเยอะเกินไปก็จะไม่ซื้อ เปลี่ยนร้านหรือไม่กินเลย,2 - 3 ชั่วโมง,6 - 10 นาที,51-100บาท
เดิน,"ก๋วยเตี๋ยว, อาหารตามสั่ง, ข้าวมันไก่, ข้าวราดแกง, ร้านน้ำ, ร้านกาแฟ",เร็ว ได้กินอาหารที่อยากกิน,แน่นอน,น้อยกว่า 1 ชั่วโมง,6 - 10 นาที,51-100บาท
รถมอไซค์,"ก๋วยเตี๋ยว, อาหารตามสั่ง, ข้าวมันไก่, ร้านน้ำ, ร้านกาแฟ","เวลา, ความสะดวก, สถานที่",ค่ะ เพราะ ขี้เกียจรอนานๆ แล้วรู้สึกว่ามันเสียเวลา,2 - 3 ชั่วโมง,6 - 10 นาที,0-50 บาท
เดิน,"ก๋วยเตี๋ยว, อาหารตามสั่ง, ร้านน้ำ",ความขี้เกียจ และร้านอาหารไกลเกินไป, ถ้าคิวยาวเกินจะเลือกร้านอื่นแทน,มากกว่า 3 ชั่วโมง,1 - 5 นาที,100-200 บาท
